seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
39,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3801333333333333,0.7916666666666666,0.1375,0.023997314664585104,0.4068333333333334,0.4708333333333333,0.12083333333333335,0.023590252224170896,0.21303333333333332,0.3958333333333333,0.10833333333333331,0.02036456617646336,0.6068660614863929,0.7924793669209698,0.1330623622711944,0.028003289199000907,0.6064857008132736,0.7924793669209698,0.1330623622711944,0.027833594409209704,0.18091603564285866,0.49384926113715966,0.18312800704737608,0.037947598497828514,0.17965,0.5,0.20833333333333331,0.042967717209810234,2.082132919420129,2.2972694743007547,0.22987665580963146,0.0419138589930456,1.0,1.0,0.0,0.0,0.2154285714285714,0.42857142857142855,0.2857142857142857,0.06403697911267794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
40,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.38365,0.7708333333333334,0.12916666666666665,0.02593468826794638,0.3885166666666667,0.45416666666666666,0.12083333333333335,0.022982656504416544,0.2278333333333333,0.37916666666666665,0.1375,0.021900025367818893,0.6207500665877018,0.806044036423358,0.17906429088544984,0.03254723292688792,0.6200316342400265,0.806044036423358,0.17906429088544984,0.032741952634936046,0.20418184023480557,0.524284860166663,0.26399594241265123,0.04800398397979577,0.2021,0.5416666666666666,0.28750000000000003,0.05432189041056817,2.1142069692978733,2.3415832100763736,0.25896088713484455,0.04775676604705116,1.0,1.0,0.0,0.0,0.246,0.6071428571428571,0.39285714285714285,0.06416114915760542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
41,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.37333333333333335,0.7875,0.14583333333333337,0.0224258035902098,0.42956666666666665,0.5125,0.14999999999999997,0.026023088039491223,0.1971,0.375,0.12083333333333332,0.0211063708128349,0.5958122116411749,0.7708448871718282,0.14339337483771608,0.025923701149569742,0.5956295253657882,0.7708448871718282,0.14339337483771608,0.026235637657431917,0.1653903038967594,0.4549081756959331,0.18788089040922581,0.033672758999295095,0.16408333333333333,0.4625,0.21249999999999997,0.03976397378420712,2.103253335272915,2.3132162147555233,0.2292741420130726,0.03905024003294662,1.0,1.0,0.0,0.0,0.27785714285714286,0.4642857142857143,0.35714285714285715,0.0704540666690297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
42,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.36443333333333333,0.7958333333333333,0.15416666666666667,0.02583356989139003,0.4182166666666666,0.5208333333333334,0.16666666666666669,0.025820432262497507,0.21734999999999996,0.36666666666666664,0.12916666666666668,0.022311363572055484,0.6117480835850263,0.7607507187685059,0.1714491762750091,0.030162615010351192,0.612137931437519,0.7607507187685059,0.1714491762750091,0.030212210437285125,0.18789297669308264,0.4374278059700647,0.21689300157630567,0.04095075258195561,0.18973333333333334,0.42916666666666664,0.2541666666666667,0.0491201587945316,2.1537203699374605,2.3448332842936863,0.27475669484244003,0.04727962835045197,1.0,1.0,0.0,0.0,0.21857142857142856,0.42857142857142855,0.3214285714285714,0.062286369590261834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
43,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3960833333333334,0.8208333333333333,0.1333333333333333,0.024040041828397703,0.3869333333333333,0.4666666666666667,0.16666666666666669,0.023888304902422674,0.21698333333333333,0.35833333333333334,0.10416666666666669,0.019180350187974496,0.5987865123332042,0.7825434494189651,0.13135340095355819,0.028196569727827206,0.5985958541848613,0.7825434494189651,0.13135340095355819,0.028108708935159325,0.17327433998876746,0.48510423678479636,0.17087696104614516,0.03742664532345417,0.17128333333333332,0.5291666666666667,0.22083333333333333,0.04425626446554707,2.0899185736961523,2.307597958814245,0.19950831674751135,0.04241302172942754,1.0,1.0,0.0,0.0,0.19799999999999998,0.4642857142857143,0.2857142857142857,0.05785343903488595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
44,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.36943333333333334,0.8375,0.13333333333333336,0.024460535108165107,0.4127,0.4791666666666667,0.1375,0.02507685962972415,0.21786666666666668,0.4166666666666667,0.12916666666666665,0.021806064396044607,0.6238758711734383,0.8094211915546558,0.16571513687907047,0.030096744124088984,0.6240102989908584,0.8094211915546558,0.16571513687907047,0.029895731903051687,0.20838530860500304,0.526770250601861,0.23963810737673175,0.04422314019405814,0.21035,0.5208333333333334,0.275,0.052802327915853604,2.141528816667205,2.3633108145649575,0.24590780369410048,0.04303537582337022,1.0,1.0,0.0,0.0,0.21871428571428572,0.42857142857142855,0.3571428571428571,0.059382708951756145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,runaway
45,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3515333333333333,0.8125,0.1375,0.023643979736452526,0.4296333333333333,0.5,0.11666666666666664,0.02351545591024479,0.21883333333333332,0.37083333333333335,0.10416666666666666,0.020413094925670738,0.6372096258934241,0.8062846380270167,0.176020274859784,0.02808851702049264,0.6371352534173225,0.8062846380270167,0.176020274859784,0.02847380297212671,0.2285467901947371,0.5231547299501943,0.26441000724281405,0.04413728710212779,0.22978333333333337,0.5375,0.2625,0.05010372851506274,2.1514680853674757,2.3355979523031243,0.2507249671762546,0.04191932058338341,1.0,1.0,0.0,0.0,0.28128571428571425,0.5357142857142857,0.35714285714285715,0.06417275790507104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
46,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.38883333333333336,0.8125,0.12916666666666665,0.025359087785906915,0.4092,0.48333333333333334,0.1333333333333333,0.02373345037424324,0.20196666666666668,0.3958333333333333,0.11666666666666667,0.02247267476539255,0.5868608426069961,0.7677926754488902,0.15705899590077654,0.03145871046851062,0.586967496821262,0.7677926754488902,0.15705899590077654,0.031141759103001126,0.15682280470011034,0.4530309737573544,0.18667274923418972,0.038463779374621074,0.15601666666666666,0.4875,0.22500000000000003,0.04464187433838822,2.0620361343937565,2.2619330812816325,0.24588083019798912,0.046345230542073526,1.0,1.0,0.0,0.0,0.159,0.39285714285714285,0.32142857142857145,0.05306541977135585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
47,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.37516666666666665,0.8,0.1833333333333333,0.024960524389078403,0.38700000000000007,0.4625,0.15833333333333338,0.02369423277227323,0.2378333333333333,0.39166666666666666,0.11249999999999999,0.021279228265037142,0.6264019996099155,0.8467303803479092,0.20366517044239296,0.030290604818123706,0.6263805690167978,0.8467303803479092,0.20366517044239296,0.030256291188527323,0.21058833749004827,0.5753650860634908,0.268984208062678,0.04472019667699135,0.21293333333333334,0.55,0.3208333333333333,0.05157202083817671,2.131924280906694,2.3931668453360473,0.31673839196795606,0.0452188397117605,1.0,1.0,0.0,0.0,0.24757142857142855,0.5357142857142857,0.4642857142857143,0.06600262827172498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
48,500,240,modular,6,0.08,0.004,0.12,4,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.39525,0.7791666666666667,0.125,0.024074681260149174,0.38073333333333337,0.44166666666666665,0.12083333333333329,0.023901789798162723,0.22401666666666664,0.38333333333333336,0.14583333333333331,0.021713212823327437,0.5928679660039352,0.7959799084768863,0.15570125207216035,0.02866237377145535,0.5933424952808282,0.7959799084768863,0.15570125207216035,0.028727118200807866,0.16287349243129307,0.4960042905014134,0.19020095322841418,0.0361323015086938,0.16131666666666666,0.5166666666666667,0.20416666666666666,0.039381358393139373,2.1175867153566577,2.390501650235229,0.23813918340136309,0.044603288597459566,1.0,1.0,0.0,0.0,0.25742857142857145,0.5357142857142857,0.3571428571428571,0.06240028780676694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
