seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
31,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.39381666666666665,0.7791666666666667,0.3666666666666667,0.11487929534951022,0.40076666666666666,0.49166666666666664,0.17500000000000004,0.03356330668387064,0.2054166666666667,0.4125,0.37916666666666665,0.13783607917458413,0.6091226781978609,0.8727873796307877,0.5155711234288193,0.18946825715716945,0.6217258009575395,0.8727873796307877,0.5155711234288193,0.1892253446839034,0.3253361544497435,0.7199348522023213,0.7128057435212798,0.30815914358319424,0.32471666666666665,0.7666666666666667,0.7666666666666667,0.3084841797672397,2.059189929224368,2.40897815679346,0.716727671098699,0.2500225426313452,1.0,1.0,0.0,0.0,0.2447142857142857,0.5,0.4642857142857143,0.1226311043540832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,runaway
32,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.36088333333333333,0.8125,0.12916666666666665,0.022250724083099457,0.42281666666666673,0.5,0.1375,0.02309153885445201,0.21630000000000002,0.4083333333333333,0.10000000000000003,0.018318296864064627,0.6289645118071876,0.7805705903145654,0.15584558979551277,0.025319150100259025,0.6290722516418138,0.7805705903145654,0.15584558979551277,0.025252070869544254,0.11047158706576261,0.5660208836743462,0.26979443829177685,0.048204076279667274,0.1112,0.55,0.3,0.04974355346284693,2.142980718506022,2.3717957324394003,0.23617586944441893,0.040360322515698176,1.0,1.0,0.0,0.0,0.3681428571428571,0.5357142857142857,0.35714285714285715,0.06848521365810227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,runaway
33,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3458333333333333,0.8333333333333334,0.28750000000000003,0.04529226080567064,0.3888833333333333,0.4625,0.16666666666666669,0.026203588600715658,0.2652833333333333,0.42916666666666664,0.2833333333333333,0.04780708048442662,0.6804042586493322,0.8958706415562386,0.40019569917646725,0.06828975126615551,0.6820481659848971,0.8958706415562386,0.40019569917646725,0.06654929046425845,0.27411609016974814,0.7200555533901382,0.5743329267342053,0.12512407917680965,0.27283333333333337,0.7458333333333333,0.6041666666666666,0.12640389410316616,2.190259649709659,2.494406874962761,0.5693395378814208,0.09465559395483678,1.0,1.0,0.0,0.0,0.3074285714285714,0.6071428571428571,0.5357142857142857,0.0938296328459192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,runaway
34,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.37405,0.8416666666666667,0.16666666666666669,0.024944388146434862,0.3962333333333333,0.4583333333333333,0.12916666666666665,0.023374511284255287,0.22971666666666668,0.3875,0.10833333333333334,0.020572777320203187,0.6301063344651071,0.8434746913075639,0.16934518027588108,0.030009167022618678,0.629881622763685,0.8434746913075639,0.19260381006185745,0.03067376362148279,0.11642063021360868,0.6832672767908233,0.3468017816537042,0.058402410300220683,0.11946666666666667,0.7083333333333334,0.42083333333333334,0.06454924046373006,2.1297127724307683,2.383508346510176,0.2934347022455155,0.044714457781617784,1.0,1.0,0.0,0.0,0.27585714285714286,0.6428571428571429,0.35714285714285715,0.06452163060808778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
35,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.32728333333333337,0.8125,0.1916666666666667,0.025278894358733334,0.40721666666666667,0.5,0.15000000000000002,0.023406201694802547,0.2655,0.4083333333333333,0.15416666666666667,0.022167919764079506,0.6667139050267826,0.8401050131701299,0.25598733763981946,0.02985789724983772,0.6667038701598439,0.8401050131701299,0.25598733763981946,0.030039768934968625,0.19428400168566068,0.6574067319387294,0.4681960765053747,0.07537452864663098,0.19441666666666668,0.65,0.49999999999999994,0.08189937084278759,2.2231175213460963,2.43834831572248,0.3834491560420745,0.04581329451537664,1.0,1.0,0.0,0.0,0.2874285714285714,0.5,0.39285714285714285,0.07040060296587795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,runaway
36,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.40526666666666666,0.75,0.11666666666666664,0.019826637525197144,0.4005,0.4625,0.12083333333333335,0.018978057505094313,0.19423333333333334,0.37916666666666665,0.1,0.01652257714630365,0.5511808002043069,0.7803997101205635,0.12244119668979753,0.022085894433339234,0.5509055657028313,0.7803997101205635,0.12244119668979753,0.02180943090669314,0.02593506019714518,0.5586485533613632,0.06582945674745622,0.01102871887744006,0.025616666666666666,0.5625,0.08333333333333333,0.014845322869884343,2.030440087805487,2.3218635401352037,0.2038237621419483,0.03527969959043634,1.0,1.0,0.0,0.0,0.148,0.42857142857142855,0.25,0.04963211600139077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
37,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3616666666666667,0.7833333333333333,0.14166666666666666,0.023354157374366274,0.4078333333333334,0.4666666666666667,0.1166666666666667,0.02226170104312187,0.2305,0.32083333333333336,0.125,0.02057574083990929,0.6358709393869685,0.7386003529593439,0.1783762747450961,0.02845369297232079,0.6359321269014266,0.7386003529593439,0.1783762747450961,0.02883379128882244,0.12678943025300243,0.4382804754438315,0.3968647039990163,0.062297846115022745,0.12625,0.45,0.42500000000000004,0.06551213840028257,2.1225659142805515,2.27267063627829,0.272919890839749,0.0429163319475173,1.0,1.0,0.0,0.0,0.3241428571428572,0.6071428571428571,0.46428571428571425,0.06797193298317614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
38,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.36968333333333325,0.8208333333333333,0.125,0.022512274429741658,0.4027,0.4666666666666667,0.1291666666666667,0.022823331142592756,0.22761666666666663,0.3958333333333333,0.1416666666666667,0.022196102010137827,0.6360696726237579,0.806964465061173,0.1526676923378697,0.028713855474483883,0.6377653846717287,0.806964465061173,0.1526676923378697,0.02876097077745364,0.13031280975492093,0.6293436374272321,0.2972247544003605,0.057972860531702516,0.13094999999999998,0.6458333333333334,0.35833333333333334,0.06242840566067127,2.1246814864286767,2.33170442612013,0.24303193417477265,0.04279528379071827,1.0,1.0,0.0,0.0,0.28857142857142853,0.5357142857142857,0.42857142857142855,0.07445036697597361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
39,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.34241666666666665,0.7916666666666666,0.12916666666666665,0.023512555747467728,0.42495,0.49583333333333335,0.13333333333333336,0.02387025694597079,0.23263333333333333,0.3958333333333333,0.15833333333333335,0.022171904143156795,0.6437179558244533,0.8082565858941188,0.20177951022375284,0.0290045499908163,0.644052638278937,0.8082565858941188,0.20177951022375284,0.029306097942088143,0.14257832852827537,0.6259429060849965,0.4658364114773042,0.06626415249084186,0.1421666666666667,0.6291666666666667,0.49583333333333335,0.06770667946698054,2.1383592728298106,2.3478642773556953,0.2634758204529488,0.042582355771927254,1.0,1.0,0.0,0.0,0.2101428571428571,0.42857142857142855,0.3214285714285714,0.06347247515294183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,oscillatory
40,500,240,modular,6,0.08,0.004,0.12,8,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.40951666666666664,0.7708333333333334,0.37916666666666665,0.12546049511034674,0.36835,0.4791666666666667,0.15000000000000002,0.02946772716794501,0.22213333333333332,0.42083333333333334,0.37916666666666665,0.13813079148240467,0.6037786902108606,0.8655520532359378,0.5275439662356445,0.19455985569025155,0.6059061503935479,0.8655520532359378,0.5275439662356445,0.19381291755000213,0.3084281665594709,0.7075409526473095,0.6936048912561628,0.274152484298667,0.30698333333333333,0.7458333333333333,0.6875,0.2740768287461666,2.0678280215920304,2.437162934097458,0.7275555329486345,0.26900909481072166,1.0,1.0,0.0,0.0,0.205,0.5357142857142857,0.5357142857142857,0.11706661281823565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,runaway
