seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,learning_mode,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
18,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.39511666666666667,1.0,1.0,0.3992012514592942,0.4979666666666667,1.0,1.0,0.34294258346778045,0.10691666666666666,0.4625,0.44583333333333336,0.16739882931357541,0.5353883076426736,1.0785871091205033,1.071941904399896,0.3827267688616637,0.5164101856738328,1.0785871091205033,1.071941904399896,0.39340193999346285,0.2778642696981937,0.7283487093151688,0.7264433120455394,0.2882328834988522,0.27735,0.7916666666666666,0.7916666666666666,0.29044236806407336,2.0079409634109213,2.786423922233355,1.686385639469157,0.6329854135874156,1.0,1.0,0.0,0.0,0.22885714285714287,0.9285714285714286,0.8928571428571429,0.3599772101629972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
19,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.4384,1.0,1.0,0.4235970582732814,0.3961166666666667,1.0,1.0,0.32609791516932113,0.16548333333333334,0.5041666666666667,0.5041666666666667,0.21577554503078733,0.5384034140994625,1.0779460888140495,1.0714401158177298,0.4348247803372606,0.5040822318704122,1.0779460888140495,1.0744964351141821,0.43777933835518323,0.28506534244122356,0.7154127090556258,0.7141834230969474,0.30725807469734034,0.2844333333333333,0.7791666666666667,0.7708333333333334,0.3072610381346056,2.011512808990268,2.8280611715001274,1.7394969760966519,0.7170473103958663,1.0,1.0,0.0,0.0,0.3211428571428571,0.9285714285714286,0.9285714285714286,0.4159816518716632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
20,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.44508333333333333,1.0,1.0,0.4328250945820956,0.37416666666666665,1.0,1.0,0.32070949991126446,0.18075,0.5541666666666667,0.5416666666666666,0.23294027906549591,0.5514117180546382,1.1284078137622453,1.121740062140311,0.4622853589562477,0.5214119252879961,1.1284078137622453,1.121740062140311,0.46783165833747725,0.3034350275844451,0.7333337991812947,0.7319411254996092,0.32440613523400796,0.30368333333333336,0.8291666666666667,0.7875,0.3228210757438932,1.973328480090992,2.805638652227132,1.736739528976161,0.7305237035150554,1.0,1.0,0.0,0.0,0.32028571428571434,0.9642857142857143,0.9642857142857143,0.4122471024390441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
21,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.42966666666666664,1.0,1.0,0.4328789605010209,0.40523333333333333,1.0,1.0,0.3305552584499132,0.16510000000000002,0.5125,0.5125,0.21569858341882753,0.5504537063791639,1.107727895705231,1.107727895705231,0.44855840455417273,0.5134581346842901,1.107727895705231,1.107727895705231,0.45590141824531205,0.295351682752739,0.7271247899300409,0.7265711011826296,0.31727677351360245,0.29551666666666665,0.7958333333333333,0.7958333333333333,0.31933041447865734,2.0086580380011183,2.8298760888538013,1.7456422774410572,0.7257019992693562,1.0,1.0,0.0,0.0,0.3431428571428572,1.0,1.0,0.4438904075079242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
22,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.43128333333333335,1.0,1.0,0.4247869142287695,0.4034,1.0,1.0,0.3323008526421,0.16531666666666667,0.5541666666666667,0.5458333333333333,0.22324636926250083,0.5372848154425957,1.1079928260446714,1.1014858736317152,0.4327930033192462,0.510795116309915,1.1079928260446714,1.1014858736317152,0.44085996973446256,0.2847091565646655,0.7143873964930886,0.7128728859423026,0.30432007051269805,0.28435000000000005,0.7708333333333334,0.7708333333333334,0.3041609720928121,2.0024639619857574,2.8382150871204854,1.7539017574993379,0.71259957059759,1.0,1.0,0.0,0.0,0.3108571428571429,1.0,1.0,0.418525692284286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
23,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.41910000000000003,1.0,1.0,0.42933433100298163,0.4128,1.0,1.0,0.3326886165103272,0.1681,0.5291666666666667,0.5291666666666667,0.22543944986526993,0.5473377443196064,1.1018052732553967,1.1018052732553967,0.4379713345139647,0.5151214438305864,1.0979368973435095,1.0979368973435095,0.4394518299695906,0.27952399199306294,0.7118174548974994,0.7112742912228096,0.3023217764094691,0.2776166666666667,0.775,0.7708333333333334,0.3028508530063382,2.038603332421551,2.8799248522849634,1.7959060348792262,0.7283295579529901,1.0,1.0,0.0,0.0,0.313,0.8928571428571429,0.8928571428571429,0.4128860345797862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
24,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.5254666666666667,1.0,1.0,0.4548651253088351,0.29033333333333333,1.0,1.0,0.2869860623793427,0.18419999999999997,0.4708333333333333,0.4708333333333333,0.19927911469984896,0.5061418283795653,1.080486329895826,1.080486329895826,0.48964148632613186,0.49316084582451725,1.080486329895826,1.080486329895826,0.4937488767663383,0.33660900174383446,0.7383255255997707,0.7377597362472438,0.3487489172510434,0.3383833333333333,0.8166666666666667,0.8166666666666667,0.35123865778445035,1.8945016897321598,2.783016444797069,1.7031401069138137,0.7805317909752965,1.0,1.0,0.0,0.0,0.376,0.9285714285714286,0.9285714285714286,0.4065051647637356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
25,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.4306,1.0,1.0,0.4200038372840578,0.41141666666666665,1.0,1.0,0.3332383302116103,0.15798333333333334,0.5416666666666666,0.5416666666666666,0.22101709901171798,0.5455880848517252,1.1153937493682617,1.1153937493682617,0.43763527174062716,0.5215867487258444,1.1153937493682617,1.1153937493682617,0.4444667405029803,0.2932891460062349,0.7329096672857264,0.7323524089865969,0.31239845526397336,0.29303333333333337,0.7875,0.7833333333333333,0.3127808853210538,1.9959858522629232,2.8245053114956127,1.7422234583803613,0.7023231803774387,1.0,1.0,0.0,0.0,0.314,0.9642857142857143,0.9642857142857143,0.43326703836157704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
26,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.4552333333333333,1.0,1.0,0.44412926796898516,0.32115,1.0,1.0,0.303191765957528,0.22361666666666669,0.6416666666666667,0.6208333333333333,0.274462788916822,0.5735708206716038,1.2039798836941673,1.1915834784912147,0.5053949235234534,0.5377033565821036,1.2039798836941673,1.1975188939064978,0.5049690284929653,0.3096847587747847,0.7386640930185258,0.7377220317540031,0.33322819883831356,0.3095833333333333,0.7875,0.7791666666666667,0.33408628501232035,1.9891963691333447,2.886208159802791,1.8119915225911507,0.7820552712628641,1.0,1.0,0.0,0.0,0.38671428571428573,1.0,1.0,0.46853878370603935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
27,500,240,modular,6,0.08,0.004,0.12,20,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,reactive,default,0.4590666666666666,1.0,1.0,0.42947628443126973,0.36793333333333333,1.0,1.0,0.3182546691636188,0.173,0.5083333333333333,0.5083333333333333,0.21696684334503996,0.5326748837704279,1.0849843299756365,1.0788693400966733,0.44749938929727445,0.4995634139932206,1.0849843299756365,1.0788693400966733,0.4536623169931718,0.2982164480144196,0.7239538988307287,0.7222449669145417,0.32001141967820845,0.2970833333333333,0.7666666666666667,0.7666666666666667,0.3188994203158384,1.9709523432429454,2.7994469088169303,1.7011700890623318,0.7263399043629291,1.0,1.0,0.0,0.0,0.342,0.9642857142857143,0.9642857142857143,0.42811318358488293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runaway,runaway
